capital,ano,administracao,percentual
Porto Velho,2019,Pública,20.4264048857871
Rio Branco,2019,Pública,17.6005774954179
Manaus,2019,Pública,16.8811966761739
Boa Vista,2019,Pública,21.4801418507398
Belém,2019,Pública,13.3319598915972
Macapá,2019,Pública,15.6021330570621
Palmas,2019,Pública,20.906660595145
São Luís,2019,Pública,15.3849348149212
Teresina,2019,Pública,11.7279489961182
Fortaleza,2019,Pública,20.8429814432983
Natal,2019,Pública,14.2626353327579
João Pessoa,2019,Pública,12.359186305026
Recife,2019,Pública,26.4601407263139
Maceió,2019,Pública,16.4071386766565
Aracaju,2019,Pública,15.792840441409
Salvador,2019,Pública,14.4245768809303
Belo Horizonte,2019,Pública,20.2520507060943
Vitória,2019,Pública,15.3827085468531
Rio de Janeiro,2019,Pública,21.6019036017067
São Paulo,2019,Pública,21.4123650392364
Curitiba,2019,Pública,17.6047244492403
Florianópolis,2019,Pública,18.4962018367028
Porto Alegre,2019,Pública,22.6222245205776
Campo Grande,2019,Pública,26.8871371974718
Cuiabá,2019,Pública,23.4611063697924
Goiânia,2019,Pública,25.1888781940692
Brasília,2019,Pública,20.1382181012347
Porto Velho,2019,Privada,16.5235227030495
Rio Branco,2019,Privada,14.3035145622463
Manaus,2019,Privada,13.9311445320505
Boa Vista,2019,Privada,13.4423578053642
Belém,2019,Privada,22.1019172539921
Macapá,2019,Privada,14.5001341003393
Palmas,2019,Privada,16.4413961376427
São Luís,2019,Privada,12.4675042918726
Teresina,2019,Privada,12.9831075512912
Fortaleza,2019,Privada,18.6121287424689
Natal,2019,Privada,10.0165269256035
João Pessoa,2019,Privada,13.4189203402697
Recife,2019,Privada,17.4543609363798
Maceió,2019,Privada,21.8961584390085
Aracaju,2019,Privada,10.2454919439408
Salvador,2019,Privada,9.90075013665694
Belo Horizonte,2019,Privada,14.2817666020271
Vitória,2019,Privada,12.9216211456663
Rio de Janeiro,2019,Privada,18.5153632161937
São Paulo,2019,Privada,18.797608667767
Curitiba,2019,Privada,16.5372839352771
Florianópolis,2019,Privada,8.76350207328716
Porto Alegre,2019,Privada,23.2724216154088
Campo Grande,2019,Privada,17.7438027060775
Cuiabá,2019,Privada,19.3072136452718
Goiânia,2019,Privada,27.1487139561331
Brasília,2019,Privada,14.86545192895
