capital,ano,sexo,percentual
Porto Velho,2019,Masculino,17.9775902139058
Rio Branco,2019,Masculino,25.0857013158409
Manaus,2019,Masculino,22.0358141835402
Boa Vista,2019,Masculino,20.6028251820296
Belém,2019,Masculino,14.3268726278229
Macapá,2019,Masculino,17.8252133638085
Palmas,2019,Masculino,19.8077120932294
São Luís,2019,Masculino,14.0018070030889
Teresina,2019,Masculino,13.5502130458196
Fortaleza,2019,Masculino,16.8782752696771
Natal,2019,Masculino,11.8763921898304
João Pessoa,2019,Masculino,11.949895504584
Recife,2019,Masculino,24.1223817867446
Maceió,2019,Masculino,13.5393786690876
Aracaju,2019,Masculino,10.2835065255859
Salvador,2019,Masculino,15.9350518216249
Belo Horizonte,2019,Masculino,19.7122368441523
Vitória,2019,Masculino,15.279746302311
Rio de Janeiro,2019,Masculino,21.1965139870973
São Paulo,2019,Masculino,20.1997911415174
Curitiba,2019,Masculino,22.1710028727205
Florianópolis,2019,Masculino,12.3472211931042
Porto Alegre,2019,Masculino,25.0850954288538
Campo Grande,2019,Masculino,24.1897831478154
Cuiabá,2019,Masculino,24.174911643112
Goiânia,2019,Masculino,27.8688836347168
Brasília,2019,Masculino,21.2492797742589
Porto Velho,2019,Feminino,21.4868395326801
Rio Branco,2019,Feminino,9.65948338424076
Manaus,2019,Feminino,10.794760470367
Boa Vista,2019,Feminino,20.7967263625383
Belém,2019,Feminino,17.554317432905
Macapá,2019,Feminino,13.2724916698016
Palmas,2019,Feminino,20.2675454980923
São Luís,2019,Feminino,15.0906322017073
Teresina,2019,Feminino,10.7086464622079
Fortaleza,2019,Feminino,23.23731500015
Natal,2019,Feminino,13.4384263080062
João Pessoa,2019,Feminino,13.6304069493513
Recife,2019,Feminino,22.9804463603764
Maceió,2019,Feminino,23.3663219118648
Aracaju,2019,Feminino,15.9400210007346
Salvador,2019,Feminino,10.131883078891
Belo Horizonte,2019,Feminino,17.6215776802171
Vitória,2019,Feminino,13.7132246301981
Rio de Janeiro,2019,Feminino,19.4379421633632
São Paulo,2019,Feminino,21.2152981433711
Curitiba,2019,Feminino,12.4193163850624
Florianópolis,2019,Feminino,18.1287324369568
Porto Alegre,2019,Feminino,20.910275711751
Campo Grande,2019,Feminino,26.2193277445227
Cuiabá,2019,Feminino,20.5886170686723
Goiânia,2019,Feminino,23.8550714087836
Brasília,2019,Feminino,16.4411319852413
